"Case ID";"Throughput time"
"505450051805100010";"14"
"505450051459900020";"2"
"505451066297800010";"50"
"505453003164500070";"90"
"505450051163800010";""
"505450051160300010";"151"
"505453003353100050";"0"
"505450051855400070";"6"
"505450051484600050";""
"505450051161100060";"151"
"505451066264200130";"91"
"505451067172300010";"181"
"505450051720700010";"7"
"505451067877000020";"1"
"505451067172900070";"181"
"505451067345700010";"135"
"505451066635100070";"27"
"505451067979600060";"9"
"505451069554600010";"6"
"505451066264200090";"91"
"505450051484600020";""
"505450051137200010";"77"
"505450051949300010";"77"
"505451068086000020";"5"
"505451066441700010";"31"
"505451067980900030";"5"
"505451066541000010";"43"
"505453003174600030";"35"
"505451067221400010";"115"
"505453003268300010";"26"
"505451067667200010";"106"
"505450052239700020";"10"
"505451067092500010";"180"
"505450051105200010";"77"
"505451068769400060";""
"505451067999400010";"11"
"505451068667900020";"47"
"505450051480800010";""
"505451067645400010";"0"
"505451066330000010";""
"505451067134100070";"175"
"505451067172900040";"181"
"505451067357200010";"134"
"505450051343700020";"148"
"505450051648100020";"11"
"505451067357400010";"134"
"505451067220500010";"115"
"505451066988700010";"69"
"505453003221600010";"123"
"505451067220300220";"176"
"505450051446900090";"148"
"505451068970700020";"35"
"505450051768100010";"24"
"505451066635800010";"68"
"505450052152400040";"17"
"505451066963500010";"42"
"505453003155700020";"23"
"505451066264200040";"91"
"505450051467100010";"3"
"505450051851400050";"7"
"505451066228700010";"16"
"505451068607700010";"0"
"505451067004500040";"35"
"505450051923900030";"28"
"505451067136000010";"41"
"505450051447300020";""
"505451067220300020";"176"
"505451069303200010";"3"
"505451067220300100";"176"
"505453003172700010";"99"
"505450051851400040";"11"
"505450051210500030";"151"
"505453003268300060";"26"
"505453003164500040";"90"
"505451069366500060";"5"
"505451066635100170";"30"
"505453003266000010";"78"
"505451068969100040";"17"
"505451067900500030";"10"
"505451067092500030";"180"
"505451067357100010";"134"
"505450052027800010";"56"
"505451066527700030";"27"
"505451067980600070";"5"
"505453003174400010";"91"
"505450051355900050";"180"
"505450051544100010";"6"
"505453003221600020";"123"
"505451066116000060";"43"
"505451067980900080";"5"
"505451066541000020";"43"
"505451068122800010";"54"
"505451067220300080";"176"
"505453003171100010";"76"
"505450052112800040";"24"
"505450051729200040";"4"
"505451066592400020";""
"505451066601900010";"16"
"505451067078900010";"105"
"505451067761000010";"93"
"505451067010500010";"42"
"505451066750500010";"93"
"505451067240000030";"167"
"505450051534200010";"26"
"505450052112800010";"24"
"505450051732700010";"3"
"505450051355900010";"148"
"505450052238100040";"17"
"505451067979600040";"9"
"505451066231700010";"25"
"505453003284000010";"28"
"505451068969100090";"17"
"505450051900600010";"9"
"505450052250300020";""
"505450051484200030";""
"505451067645200010";"107"
"505451068513900010";"0"
"505450052168400010";""
"505453003353100010";"0"
"505450051526600020";"6"
"505451069366300010";"5"
"505451067980600020";"5"
"505450051855400020";"8"
"505453003221700040";"123"
"505451068330000010";"56"
"505453003231600030";"70"
"505450052175600040";"25"
"505451067980900040";"5"
"505453003130900010";"23"
"505453003273600010";"70"
"505450051333700030";"148"
"505453003363300030";"0"
"505451069371600010";"9"
"505450052073900010";"33"
"505453003312200020";"38"
"505450052212900010";""
"505451068639500020";"12"
"505450052027800030";"28"
"505453003178700010";"93"
"505451068628600010";"70"
"505451067547700010";"119"
"505451067240000010";"167"
"505451067402600010";"132"
"505451066394400010";""
"505450051946200010";"77"
"505453003273600020";"70"
"505451066231700020";"25"
"505450051797600050";"19"
"505451069342100010";"0"
"505453003291900030";"35"
"505450052112800020";"17"
"505450052238100020";"10"
"505451067220300030";"176"
"505451066412800010";"43"
"505453003231600020";"70"
"505451067220300160";"176"
"505451067979600050";"9"
"505451067010700010";"42"
"505453003210700010";"130"
"505451068969100020";"17"
"505453003353000010";"0"
"505451066479600030";"30"
"505450052250300010";"12"
"505451067980900120";"5"
"505450052224700010";"19"
"505451068974900010";"19"
"505451068769400020";"5"
"505451068732900010";"63"
"505450052152400050";"10"
"505453003328600010";"26"
"505451066635100090";"27"
"505451066635100060";"27"
"505451066157200010";"43"
